court_name,date,start_time,game_id
Court 1,2026-07-04,08:00,G2OTZ9
Court 2,2026-07-04,08:00,GQ8Y6R
Court 3,2026-07-04,08:00,GX4IDZ
Court 4,2026-07-04,08:00,GNHTMR
Court 5,2026-07-04,08:00,GNQ952
Court 1,2026-07-04,09:10,GYTBM7
Court 2,2026-07-04,09:10,GRKPQE
Court 3,2026-07-04,09:10,GHA5Y3
Court 4,2026-07-04,09:10,GBL044
Court 5,2026-07-04,09:10,G8J0MZ
Court 1,2026-07-04,10:20,GMYGUT
Court 2,2026-07-04,10:20,GN0KOL
Court 3,2026-07-04,10:20,GW79NW
Court 4,2026-07-04,10:20,GDWM0Z
Court 5,2026-07-04,10:20,G21Z01
Court 1,2026-07-04,11:30,G0T134
Court 2,2026-07-04,11:30,GUYKDC
Court 3,2026-07-04,11:30,GCLAJ3
Court 4,2026-07-04,11:30,GWF2T1
Court 5,2026-07-04,11:30,GODAHK
Court 1,2026-07-04,12:40,G6YSOO
Court 2,2026-07-04,12:40,GT3TPW
Court 3,2026-07-04,12:40,GYQHW3
Court 4,2026-07-04,12:40,GGGP68
Court 5,2026-07-04,12:40,GPDR0P
Court 1,2026-07-04,13:50,GIS698
Court 2,2026-07-04,13:50,GT324I
Court 3,2026-07-04,13:50,G5AS4K
Court 4,2026-07-04,13:50,GA2LQY
Court 5,2026-07-04,13:50,GID6DU
Court 1,2026-07-04,15:00,GN0QS2
Court 2,2026-07-04,15:00,GAKNWW
Court 3,2026-07-04,15:00,G3964V
Court 4,2026-07-04,15:00,GSOA01
Court 5,2026-07-04,15:00,G6DEFB
Court 1,2026-07-04,16:10,G2T5WN
Court 2,2026-07-04,16:10,GFS8EN
Court 3,2026-07-04,16:10,GVHN1F
Court 4,2026-07-04,16:10,GFSYR1
Court 5,2026-07-04,16:10,GJFS4B
Court 1,2026-07-04,17:20,GSPD3Q
Court 2,2026-07-04,17:20,G60X1K
Court 3,2026-07-04,17:20,GHWP63
Court 4,2026-07-04,17:20,GN5X7R
Court 5,2026-07-04,17:20,G8LFQW
Court 1,2026-07-04,18:30,G1HUTU
Court 2,2026-07-04,18:30,GP92XJ
Court 3,2026-07-04,18:30,G6XD7M
Court 4,2026-07-04,18:30,G7BG8F
Court 5,2026-07-04,18:30,GIIESF
Court 1,2026-07-04,19:40,GXTOJK
Court 2,2026-07-04,19:40,GF7MQ4
Court 3,2026-07-04,19:40,GPVLVS
Court 4,2026-07-04,19:40,GBYVKX
Court 5,2026-07-04,19:40,GDBLLS
Court 1,2026-07-05,08:00,GJUK1S
Court 2,2026-07-05,08:00,GYED1S
Court 3,2026-07-05,08:00,G2ZE82
Court 4,2026-07-05,08:00,GIUIJV
Court 5,2026-07-05,08:00,GUD2R8
Court 1,2026-07-05,09:10,G2VIYD
Court 2,2026-07-05,09:10,G7PI9T
Court 3,2026-07-05,09:10,G1BT3B
Court 4,2026-07-05,09:10,G77F6M
Court 5,2026-07-05,09:10,GX1DOO
Court 1,2026-07-05,10:20,GPGKLK
Court 2,2026-07-05,10:20,GCU6XL
Court 3,2026-07-05,10:20,G9CZM4
Court 4,2026-07-05,10:20,G8CED4
Court 5,2026-07-05,10:20,G9TMPC
Court 1,2026-07-05,11:30,GGYL9X
Court 2,2026-07-05,11:30,GWUS8O
Court 3,2026-07-05,11:30,GU3PXK
Court 4,2026-07-05,11:30,G8XP5U
Court 5,2026-07-05,11:30,GQSFOL
Court 1,2026-07-05,12:40,GS61DW
Court 2,2026-07-05,12:40,G67OE0
Court 3,2026-07-05,12:40,GLNFQ0
Court 4,2026-07-05,12:40,GCXD1T
Court 5,2026-07-05,12:40,GXJ3RA
Court 1,2026-07-05,13:50,GH9P9X
Court 2,2026-07-05,13:50,GDCTW0
Court 3,2026-07-05,13:50,GLE6TJ
Court 4,2026-07-05,13:50,GMXVLH
Court 5,2026-07-05,13:50,G778HC
Court 1,2026-07-05,15:00,GV2SF0
Court 2,2026-07-05,15:00,G9VG33
Court 3,2026-07-05,15:00,G5QNM7
Court 4,2026-07-05,15:00,GALOL5
Court 5,2026-07-05,15:00,G5TGTN
Court 1,2026-07-05,16:10,GSXTAD
Court 2,2026-07-05,16:10,GYGOJ5
Court 3,2026-07-05,16:10,G2VLCG
Court 4,2026-07-05,16:10,GY8WVS
Court 5,2026-07-05,16:10,GITJVH
Court 1,2026-07-05,17:20,GIIJ8O
Court 2,2026-07-05,17:20,G91MPM
Court 3,2026-07-05,17:20,G2TBQ2
Court 4,2026-07-05,17:20,GWO4BI
Court 5,2026-07-05,17:20,G3GOBM
Court 1,2026-07-05,18:30,GMGAV0
Court 2,2026-07-05,18:30,G0TC8Z
Court 3,2026-07-05,18:30,GPYJO2
Court 4,2026-07-05,18:30,GR1RYP
Court 5,2026-07-05,18:30,GJAFQV
Court 1,2026-07-05,19:40,GE187Q
Court 2,2026-07-05,19:40,GEDRFC
Court 3,2026-07-05,19:40,GS1PZ3
Court 4,2026-07-05,19:40,GC8RE2
Court 5,2026-07-05,19:40,GGN434
